"","Course.Id","Title","Description","Credits","Learning.Goals","Distribution.Requirements","CO","CW","G","L","Q","A","FS","H","NS","SS","X3.3.4.3.Early.Assurance.Program.with.the.Drexel.University.Thomas.Kline.School.of.Law","X4.4.Admissions.Early.Interview.Program.with.the.New.York.Institute.of.Technology.College.of","Anthropology..B.A.","Anthropology..Environmental.Anthropology.Concentration..B.A.","Art.History..B.A.","Art..Studio.Art..B.A.","Biology..B.A.","Chemistry..B.A.","Communications..B.A.","Communications..B.A...Digital.Production.and.Cinema.Studies.Concentration","Communications..B.A...Journalism.and.Public.Relations.Concentration","Communications..B.A...Media.Studies.Concentration","Economics..B.A.","English..Creative.Writing.Track..B.A.","English..Literature.Track..B.A.","Environmental.Studies..B.A.","Fine.Arts..B.A.","French..B.A.","History..B.A.","Interdisciplinary.Studies..B.A.","International.Studies..Business.Track..B.A.","International.Studies..Political.Science.Track..B.A.","Latin.American.Studies..B.A.","Liberal.Studies..B.A.","Literature..B.A.","Mathematics..B.A.","Philosophy..B.A.","Physics..B.A.","Political.Science..B.A.","Psychology..B.A.","Social.Science..Psychology.and.Human.Service.Professions.Concentration..B.A.","Social.Science..Social.Cultural.Studies.Concentration..B.A.","Sociology..B.A.","Spanish..B.A.","X4.4.Early.Acceptance.Program..EAP..with.the.LECOM.School.of.Dental.Medicine","Dentistry..B.A..B.S..D.D.S...NYU.","General.Education...Core.Requirements","Law..B.A..B.S..J.D...Albany.","Medicine..B.A..B.S..D.O...Lake.Erie.College.of.Osteopathic.Medicine...LECOM.","Medicine..B.A..B.S..D.O...Philadelphia.College.of.Osteopathic.Medicine...PCOM..","Medicine..B.A..B.S..D.O...NEW.YORK.INSTITUTE.OF.TECHNOLOGY.COLLEGE.OF.OSTEOPATHIC.MEDICINE.NYITCOM.","Optometry..B.S..O.D...SUNY.College.of.Optometry.","Pre.Engineering..B.A..B.S..M.S...Columbia.","Scholar.Teacher.Education.Program..STEP...Teaching.English.to.Speakers.of.Other.Languages..TESOL..5.Year.B.A..M.A..or.B.S..M.A.","The.4.4.Collaborative.Affiliation.Agreement.with.the.Buffalo.School.of.Pharmacy.and.Pharmaceutical.Sciences","The.Scholar.Teacher.Education.Program..STEP...B.A..or.B.S.M.A.","Veterinary.Medicine..B.A..or.B.S..D.V.M...Ross.University.School.of.Veterinary.Medicine.","Accounting..B.B.A.","Management..B.B.A.","Management..Finance.Specialization..B.B.A.","Management..Human.Resource.Management.Specialization..B.B.A.","Management..Management.Information.Systems.Specialization..B.B.A.","Management..Marketing.Specialization..B.B.A.","Accounting.Five.Year.B.B.A..M.B.A.","Art.and.Design.Education..B.F.A.","Art.Education..Pre.K.12...B.F.A.","Art..Studio.Art..B.F.A.","Art..Studio.Art..Graphic.Design.Concentration..B.F.A.","Dance..B.F.A.","Theatre.Arts..Acting..B.F.A.","Theatre.Arts..Design.Technology..B.F.A.","Accelerated.Nursing.Program..leading.to.the.B.S..in.Nursing","Biochemistry..B.S.","Biology..B.S.","Business..B.S...through.College.of.Professional.and.Continuing.Studies.","Chemistry..B.S.","Communication.Sciences.and.Disorders..B.S.","Computer.and.Management.Information.Systems..B.S.","Computer.and.Management.Information.Systems..Game.Development.Concentration..B.S.","Computer.and.Management.Information.Systems..Information.Security.Concentration..B.S.","Computer.Science.B.S.","Criminal.Justice..B.S.","Emergency.Services.Administration..B.S.","Exercise.Science..B.S.","Finance..B.S.","Interdisciplinary.Studies..B.S.","Marketing..B.S.","Mathematics..B.S.","Music.Education..B.S.","Music..B.S.","Music..Composition.Concentration..B.S.","Music..Vocal.Performance.Concentration..B.S.","Natural.Sciences..B.S.","Neuroscience..B.S....Cognitive.Neuroscience.Concentration","Neuroscience..B.S....Molecular.Neuroscience.Concentration","Nursing..B.S.","Nursing..R.N..to.B.S.","Physical.Activity.Studies..B.S.","Physical.Education.and.Health.Education..B.S.","Physical.Education..Teaching..B.S.","Physical.Therapy..B.S..D.P.T...New.York.Institute.of.Technology.","Physical.Therapy..B.S..D.P.T...New.York.Medical.College.","Physics..B.S.","Podiatry..B.S..D.P.M..New.York.College.of.Podiatric.Medicine...NYCPM..","Sport.Management..B.S.","ANSWER.Program.Leading.to.Bachelor.of.Social.Work..B.S.W.","Social.Work..B.S.W.","Social.Work..Child.and.Family.Studies.Concentration..B.S.W."
"149","0122-233","Literature in English III
Required for all English majors",,"3","G","H",0,0,1,0,0,0,0,1,0,0,1,3,4,5,3,3,3,5,3,4,4,5,2,2,1,2,5,5,3,2,1,1,1,2,3,5,3,5,3,5,2,2,4,5,1,1,1,4,1,2,4,1,3,1,3,5,4,4,4,5,1,3,2,5,4,1,3,4,4,4,2,4,4,2,3,4,4,1,1,3,5,2,4,2,1,3,3,5,5,4,5,1,2,3,2,1,5,1,3,4,2,5,2,2,1,3,1,3
"150","0122-251","Third Gender Literature",,"3","G","H",0,0,1,0,0,0,0,1,0,0,3,2,2,4,4,5,5,5,5,2,1,4,2,2,1,1,1,1,2,2,3,3,4,2,3,2,1,5,2,2,5,4,5,3,2,1,3,5,4,5,2,2,5,5,1,1,1,4,5,4,4,3,4,2,1,2,2,4,1,3,2,1,5,4,5,3,1,1,4,1,4,2,3,2,3,5,1,3,5,1,3,2,1,3,1,4,5,5,2,4,1,3,2,3,5,3,3,3
"151","0122-252","Literary Cities
Students in this course will not be able to take a Friday 12pm course. There is an extra cost for this course including airfare,housing,food transporation etc.Registration for course is handled by sponsoring department and CIE Departmental approval required to register for course(s)",,"3","G","H",0,0,1,0,0,0,0,1,0,0,5,2,3,1,4,3,4,2,4,3,5,1,5,1,1,5,4,2,3,1,3,2,5,3,1,4,5,4,3,3,4,2,2,4,1,2,2,4,4,2,3,4,1,1,3,2,5,1,2,3,2,2,3,4,1,5,1,5,1,3,1,4,5,1,1,1,1,5,1,4,4,2,3,4,5,5,5,5,4,5,1,1,5,4,5,2,1,4,2,5,2,5,2,3,3,4,5,1
"152","0122-262","Black Writers I",,"3","G","H",0,0,1,0,0,0,0,1,0,0,5,5,1,3,1,4,1,1,5,2,2,1,4,1,4,3,5,2,2,5,2,2,5,4,2,5,3,2,1,2,4,1,1,4,2,4,5,4,2,4,5,5,1,5,2,1,4,2,2,2,5,4,4,1,2,2,5,1,4,4,1,4,4,5,2,3,5,1,1,2,3,2,3,1,5,1,4,5,3,5,1,2,2,3,4,5,4,3,4,5,1,1,2,2,1,4,3,3
"153","0122-263","Black Writers I I
Fulfills elective credit for English major. Cross-Listed",,"3","G","H",0,0,1,0,0,0,0,1,0,0,5,4,4,2,1,2,3,5,3,1,5,4,4,1,1,3,3,3,1,1,4,2,2,4,3,5,3,3,1,4,5,1,1,2,5,4,3,3,1,4,4,4,2,3,2,5,5,5,5,5,4,4,5,3,3,5,4,2,2,1,5,3,1,3,1,1,2,2,2,2,5,4,5,5,1,1,2,3,1,4,5,5,5,1,4,2,5,2,4,2,2,4,5,5,2,4,5,5
"154","0122-264","The Tragic Vision",,"3","G","H",0,0,1,0,0,0,0,1,0,0,4,1,4,1,2,2,4,3,2,3,3,2,2,3,2,4,3,2,2,5,2,2,5,3,3,1,3,2,1,4,3,2,3,4,4,4,4,4,1,3,4,2,5,1,1,4,2,2,2,4,4,5,5,1,1,5,1,5,1,3,2,4,4,5,2,4,4,2,5,5,5,1,3,2,3,3,3,2,5,1,5,5,1,2,1,5,2,1,1,2,4,2,4,5,5,5,4,5
"155","0122-267","Literature and Other Arts",,"3","G","H",0,0,1,0,0,0,0,1,0,0,5,5,3,2,5,3,4,5,2,5,2,3,4,3,1,3,4,1,1,1,5,4,3,2,4,2,4,3,4,5,5,5,3,5,2,5,2,4,5,4,2,2,4,3,5,2,5,1,5,4,5,2,2,3,1,5,4,5,5,4,3,1,5,4,5,4,3,5,3,5,1,2,5,4,3,1,1,3,1,2,2,2,3,2,4,1,1,1,3,5,1,5,1,4,5,1,3,4
"156","0122-302","S/T: Contemporary Drama",,"3","G","H",0,0,1,0,0,0,0,1,0,0,2,1,4,3,1,3,1,3,4,3,3,1,4,4,3,4,4,3,3,5,5,4,1,2,3,5,4,4,5,3,2,1,5,3,2,5,2,3,4,5,5,4,2,4,5,3,4,1,4,4,5,5,2,2,2,3,4,1,5,5,1,3,4,2,4,5,1,5,4,3,4,4,2,5,4,1,4,5,5,3,4,5,5,2,4,2,4,3,1,4,3,1,4,1,3,1,2,5
"157","0122-304","Contemporary Novel",,"3","G","H",0,0,1,0,0,0,0,1,0,0,3,4,1,5,2,1,1,4,1,4,4,4,1,1,5,4,5,4,4,3,5,3,3,3,2,2,5,5,3,4,3,2,1,3,4,5,2,1,3,3,4,4,4,1,1,2,4,3,4,4,5,3,2,2,3,5,4,1,5,3,1,4,2,2,5,5,3,5,4,2,3,1,2,1,1,3,1,5,1,1,3,5,2,4,4,1,1,3,1,3,4,4,1,2,1,1,4,2
"158","0122-306","Contemporary Poetry",,"3","G","H",0,0,1,0,0,0,0,1,0,0,5,4,4,5,5,1,2,1,5,4,1,3,1,5,2,1,5,3,2,5,4,5,1,3,1,5,3,2,2,2,5,5,2,2,2,2,2,3,5,5,1,5,4,2,2,1,3,2,2,2,5,4,3,4,4,2,3,1,4,1,3,5,3,3,5,2,5,5,1,5,2,4,1,2,5,4,5,5,3,4,3,2,3,3,2,1,2,5,2,5,2,5,4,5,4,2,3,2
"159","0122-320","Medieval Literature",,"3","G","H",0,0,1,0,0,0,0,1,0,0,3,5,1,1,3,5,5,1,1,2,2,3,3,1,1,4,1,2,1,3,4,4,4,3,2,4,5,3,3,3,4,1,4,5,2,3,4,1,5,1,1,3,3,4,2,3,3,2,1,5,1,4,1,1,3,4,5,2,3,3,2,4,2,2,3,1,4,3,1,5,1,5,1,2,3,2,1,3,2,2,2,1,2,3,3,4,2,4,4,5,2,4,1,4,2,4,5,4
"160","0122-321","Renaissance Literature",,"3","G","H",0,0,1,0,0,0,0,1,0,0,5,3,1,4,4,5,5,3,4,3,5,5,5,3,3,5,2,3,1,2,1,3,4,4,3,5,4,4,3,3,4,5,5,5,2,1,2,1,5,4,2,1,1,3,2,1,2,2,3,1,3,4,4,5,3,5,4,1,3,3,1,1,1,4,4,2,2,3,3,2,3,4,2,3,4,5,2,1,4,1,4,3,3,2,5,2,4,2,1,4,1,3,3,5,1,3,4,2
"161","0122-347","Major Author in Translation",,"3","G","H",0,0,1,0,0,0,0,1,0,0,1,2,1,2,4,4,2,1,5,5,1,5,5,3,3,5,4,4,1,4,1,2,3,1,1,2,2,5,5,4,2,4,5,5,5,2,4,1,2,3,1,4,4,5,2,2,4,3,2,1,5,2,1,1,4,1,4,1,2,4,4,4,3,3,5,1,1,4,4,3,2,2,1,1,1,5,1,5,1,5,5,4,5,3,3,1,4,2,1,5,3,1,3,5,4,2,2,1
"162","0122-353","Theories of Literary Translation",,"3","G,L","H",0,0,1,1,0,0,0,1,0,0,4,2,5,3,2,4,3,1,5,2,4,5,4,1,4,3,1,3,1,4,1,1,5,1,1,5,1,5,5,3,3,1,2,1,4,2,4,1,5,1,1,5,1,2,4,1,2,4,2,4,3,3,5,3,2,2,4,2,1,3,3,4,1,1,1,2,1,2,4,3,5,1,3,1,1,4,1,2,1,3,1,2,1,3,2,5,2,4,2,4,2,4,4,4,3,3,3,2
"163","0122-455","Special Topics 
Senior Majors Only",,"3","G","",0,0,1,0,0,0,0,0,0,0,1,3,1,2,1,4,1,1,4,1,1,4,1,4,4,2,5,2,5,5,5,4,2,4,2,2,2,2,3,3,5,5,3,1,4,5,3,4,2,3,1,4,4,1,2,5,5,4,2,3,2,1,5,5,1,5,3,2,5,5,2,4,1,3,4,2,1,4,3,4,2,2,5,1,4,1,4,5,5,5,4,3,5,5,4,5,1,1,3,3,5,4,4,3,4,1,3,4
"164","0125-215","Introduction to Tropical Marine and Terrestrial Systems
Cross-listed with 0105-215 and 0112-215 All Students are required to pass a swimming test prior to enrolling See Center for International Education for further information For majors and non-majors",,"3","G","NS",0,0,1,0,0,0,0,0,1,0,4,4,1,1,3,2,2,4,5,3,3,2,1,3,4,5,4,1,4,3,4,5,2,4,1,3,1,1,3,3,3,1,3,3,2,5,2,5,5,3,3,1,1,5,4,3,3,3,4,2,5,2,1,1,3,1,5,3,5,4,1,1,1,2,5,4,5,2,1,2,4,4,5,4,3,1,5,2,2,5,3,3,4,5,5,4,2,5,2,4,4,2,2,5,3,1,2,5
"165","0125-415","Field Research On Tropical Marine and Terrestrial Systems
Cross-listed with 0105-415 and 0112-415 All Students are required to pass a swimming test prior to enrolling See Center for International Education for further information For majors and non-majors",,"3","G","NS",0,0,1,0,0,0,0,0,1,0,5,4,4,4,3,5,2,1,1,3,3,4,2,4,5,1,5,1,1,4,3,3,4,2,4,2,5,3,2,3,3,5,3,4,4,4,1,2,4,2,2,2,1,2,5,3,3,2,2,5,1,1,1,5,1,4,2,1,4,5,5,4,2,3,4,4,1,4,3,4,5,1,2,2,1,4,4,5,1,2,1,1,5,5,2,5,1,2,4,4,1,2,5,5,1,2,3,2
"166","0128-111","Level I French",,"3","G","",0,0,1,0,0,0,0,0,0,0,4,5,1,4,4,4,2,3,5,5,3,5,5,5,5,2,4,5,2,5,2,5,5,4,1,4,1,1,3,1,2,2,2,1,5,2,3,2,4,2,3,2,3,4,3,1,3,5,5,5,5,1,1,3,3,5,5,1,3,4,3,4,1,3,3,5,4,3,1,4,1,2,4,3,4,4,4,1,4,2,3,2,4,1,4,4,1,5,3,3,3,2,3,4,2,2,5,3
"167","0128-112","Level II French 
Students who fail to receive a C- or higher in Level I cannot continue to Level I I",,"3","G","",0,0,1,0,0,0,0,0,0,0,3,1,5,5,1,1,1,5,5,1,3,1,1,1,3,1,3,1,1,3,1,3,1,2,1,5,3,5,4,1,1,3,5,5,5,5,4,3,1,4,3,2,2,5,2,2,3,1,5,1,4,3,4,3,2,4,2,1,1,2,4,2,3,3,1,1,1,2,2,2,5,2,5,5,3,1,4,4,1,1,1,4,3,5,2,5,5,3,3,5,4,2,1,4,4,4,5,4
"168","0128-232","Introduction To French Literature",,"3","G","H",0,0,1,0,0,0,0,1,0,0,1,3,3,5,3,1,3,2,3,3,1,4,1,5,1,5,3,1,1,5,2,5,1,1,2,1,5,1,1,3,3,4,3,1,4,5,2,5,4,1,1,1,4,3,3,4,1,2,1,5,4,2,2,2,4,2,1,2,5,1,3,5,1,1,5,1,1,2,2,2,5,5,2,1,3,3,1,2,4,4,1,5,1,4,4,2,3,5,5,5,3,5,4,2,1,3,4,3
"169","0129-111","Chinese Level I
Students who fail to receive a C- or better, cannot continue to the next level, Level II For majors and non-majors",,"3","G","",0,0,1,0,0,0,0,0,0,0,1,5,4,4,4,5,3,1,5,4,5,2,4,2,3,2,3,2,4,4,2,5,1,2,5,4,1,1,3,4,3,2,2,5,5,4,2,1,2,1,3,5,5,5,5,1,4,2,2,2,2,2,1,3,4,4,4,1,2,4,2,5,2,2,5,5,3,2,4,4,5,4,3,1,4,2,3,3,4,1,5,4,5,3,1,4,2,4,1,2,1,1,4,4,1,3,5,4
"170","0129-112","Chinese Level I I
CHI 111 or equivalent. Students who failed to get a C- in Level II,cannot continue to the next Level,Level III For majors and non-majors",,"3","G","",0,0,1,0,0,0,0,0,0,0,2,2,3,1,4,5,3,1,5,5,1,3,1,5,2,4,3,2,3,2,1,5,3,3,4,2,2,3,2,3,4,5,1,1,1,4,1,2,3,3,5,3,1,4,2,1,3,3,5,3,2,1,2,1,1,1,5,1,2,2,5,2,1,3,4,4,4,4,4,1,5,5,4,2,2,2,4,5,5,3,1,1,1,2,3,4,2,2,4,5,5,4,4,2,2,5,4,2
"171","0130-111","Level I German 
No prerequisite. Additional work in the Language lab is required.Not opened to students with previous knowledge of German",,"3","G","",0,0,1,0,0,0,0,0,0,0,1,4,4,2,3,5,5,2,3,4,5,1,3,3,1,1,2,1,5,2,4,2,4,5,3,1,4,3,2,1,4,4,5,1,2,1,5,2,2,3,1,5,5,3,2,3,1,1,4,1,1,4,1,2,2,2,5,3,3,3,3,4,1,5,1,4,5,2,2,1,2,3,2,4,2,1,1,1,1,2,1,5,3,2,1,1,2,4,4,2,3,1,1,2,5,2,4,2
"172","0130-112","Level II German 
Students who fail to receive a C- or higher in Level I cannot continue to Level I I",,"3","G","",0,0,1,0,0,0,0,0,0,0,1,5,5,4,3,1,1,4,1,1,5,1,4,1,4,3,3,2,5,4,5,1,3,5,1,3,1,1,5,3,2,4,3,3,4,1,2,1,2,5,4,1,4,1,2,5,5,4,4,3,4,2,1,4,1,3,4,1,4,3,3,1,3,5,1,5,5,5,5,4,1,1,2,5,1,5,1,5,5,3,1,2,4,4,1,2,4,5,1,2,2,4,5,4,1,3,4,4
"173","0130-122","Level IV German",,"3","G","",0,0,1,0,0,0,0,0,0,0,3,4,5,5,3,4,1,3,5,2,1,1,5,2,5,5,2,3,2,5,1,3,3,2,4,3,2,5,5,3,4,4,5,1,1,4,2,3,3,3,1,1,3,4,1,1,5,3,2,1,3,1,2,3,5,3,3,3,5,5,4,3,2,2,2,5,5,2,4,5,2,1,1,5,2,4,1,1,3,3,4,1,1,5,4,1,3,2,3,4,2,1,3,4,3,3,2,2
"174","0131-111","Level I Greek",,"3","G","",0,0,1,0,0,0,0,0,0,0,3,3,1,1,2,5,4,5,3,2,3,5,1,3,1,1,2,4,4,2,1,1,2,2,2,1,3,1,4,2,5,4,4,2,5,1,2,4,2,2,4,4,1,2,2,3,4,2,1,2,1,4,2,5,1,3,1,1,4,1,2,2,5,4,1,2,2,4,1,2,1,3,3,3,4,3,3,1,5,4,4,4,1,2,5,2,5,3,5,5,4,5,2,5,3,1,1,5
"175","0131-112","Level II Greek 
Students who fail to receive a C- or higher in Level I cannot continue to Level I I",,"3","G","",0,0,1,0,0,0,0,0,0,0,1,3,1,1,1,5,5,4,1,2,5,1,3,2,1,1,2,1,4,5,2,2,2,2,3,2,1,5,1,3,1,2,5,4,1,3,2,2,1,5,1,3,1,4,1,5,3,3,2,2,1,5,1,5,5,4,1,3,3,5,1,2,2,2,1,1,1,1,4,5,3,2,4,5,1,2,1,2,5,5,2,3,3,4,2,2,4,1,3,5,3,3,4,4,1,1,4,5
"176","0132-111","Level I Hebrew",,"3","G","",0,0,1,0,0,0,0,0,0,0,4,3,1,2,4,3,4,2,1,2,3,4,4,1,1,5,5,1,4,3,3,2,2,4,1,4,1,2,3,1,5,4,1,3,4,1,1,4,5,4,4,2,5,1,4,4,3,4,4,2,3,3,5,1,5,2,1,2,4,2,4,5,3,4,5,5,5,4,5,1,3,5,4,2,2,5,2,1,4,1,4,3,4,1,3,5,2,5,2,4,2,4,2,4,4,1,4,1
"177","0132-112","Level II Hebrew
Students who fail to receive a C- or better in Level 1, cannot continue to next level, Level II",,"3","G","",0,0,1,0,0,0,0,0,0,0,3,2,3,5,4,4,5,3,2,4,4,5,5,5,3,4,4,5,4,2,1,2,1,5,2,2,1,4,5,2,3,5,1,5,4,2,1,5,5,3,5,4,1,3,5,5,2,1,2,1,2,2,1,5,4,2,3,3,5,4,3,4,2,4,4,1,2,1,3,4,5,4,4,2,1,2,1,4,4,1,1,5,2,5,5,3,1,3,4,1,3,2,2,4,4,5,2,4
"178","0132-121","Level III Hebrew
Students who failed to receive a C- in Level II,cannot continue to the next level, Level III",,"3","G","",0,0,1,0,0,0,0,0,0,0,2,3,2,4,5,4,5,4,3,2,4,1,3,4,4,4,2,1,2,5,4,2,5,4,2,4,1,3,5,4,2,1,3,4,3,2,2,3,1,3,4,1,5,3,3,1,4,1,3,4,3,4,5,4,3,1,4,4,5,4,2,3,1,1,1,3,5,2,2,1,5,2,2,5,1,5,1,3,1,3,3,2,3,1,4,5,1,3,3,3,4,3,5,1,5,2,5,2
"179","0132-122","Level IV Hebrew
Students who fail to receive a C- or higher in Level I I I cannot continue to the next level,Level IV",,"3","G","",0,0,1,0,0,0,0,0,0,0,5,3,5,3,3,2,3,2,4,1,2,4,5,5,1,5,1,5,5,4,3,4,4,1,4,3,5,3,4,4,5,2,3,1,4,5,5,1,3,3,4,2,5,4,2,3,2,2,4,5,3,3,2,1,4,5,5,1,4,5,1,5,4,5,2,5,5,4,5,1,1,3,1,5,3,5,4,3,1,3,5,2,4,1,3,5,2,1,2,3,5,4,1,4,2,1,1,3
"180","0133-104","Western Civilization I",,"3","G","H",0,0,1,0,0,0,0,1,0,0,1,2,4,5,4,5,3,4,4,4,5,5,3,1,5,4,3,5,4,4,2,1,1,1,5,3,1,2,2,4,1,2,2,2,2,5,3,3,4,2,2,2,5,4,3,2,1,4,3,2,5,2,1,1,5,3,5,4,2,3,3,3,2,3,1,2,3,1,2,5,5,2,2,5,5,2,1,3,3,3,2,5,3,4,1,2,5,1,5,5,2,4,5,5,5,3,4,2
"181","0133-105","Western Civilization II",,"3","G","H",0,0,1,0,0,0,0,1,0,0,5,2,1,1,1,5,1,3,4,3,4,4,5,3,2,4,3,5,1,1,2,5,4,4,2,5,2,5,4,2,5,5,5,2,5,3,4,4,4,3,3,4,5,2,3,3,3,2,2,1,2,3,1,3,2,3,4,1,5,4,1,4,4,2,5,4,5,2,4,2,2,4,1,5,5,3,4,3,3,4,3,3,5,2,2,2,2,5,5,1,1,4,4,5,5,4,2,1
"182","0135-111","Level I Arabic",,"3","G","",0,0,1,0,0,0,0,0,0,0,4,1,5,4,2,1,1,4,5,2,3,5,2,5,1,1,1,2,4,5,5,3,2,3,2,1,1,1,3,1,5,1,3,3,3,3,4,5,5,3,3,4,3,2,5,5,4,3,1,2,1,5,1,5,3,2,3,3,5,1,2,4,3,3,3,4,4,4,2,1,1,3,1,1,5,2,2,3,5,5,2,4,5,3,1,2,1,3,4,4,1,4,5,2,3,2,1,1
"183","0135-112","Level I I Arabic
Students who failed to receive a C- in Level I cannot continue to the next level, Level III",,"3","G","",0,0,1,0,0,0,0,0,0,0,1,5,3,4,2,3,1,2,5,4,4,4,4,4,3,5,5,4,5,4,5,2,5,2,1,4,5,2,2,1,5,1,3,3,1,5,1,2,3,4,3,2,3,2,4,2,1,1,1,3,5,2,4,1,2,1,1,3,2,2,5,2,2,5,5,3,3,1,5,3,1,4,2,1,3,2,1,4,4,2,4,3,2,2,1,1,2,1,4,5,1,4,4,4,3,3,4,3
"184","0135-122","Level IV Arabic
Students who failed to receive a C- in Level III cannot continue to the next level, Level IV",,"3","G","",0,0,1,0,0,0,0,0,0,0,3,2,1,3,4,3,4,1,2,2,4,2,4,3,4,5,1,5,1,4,2,1,3,2,5,1,3,5,5,2,4,2,4,5,1,2,4,1,3,4,5,2,1,3,3,4,2,3,5,2,3,1,4,2,2,2,4,3,2,2,4,2,4,5,5,3,5,1,2,1,3,2,3,4,3,4,3,5,5,5,2,2,2,1,4,4,1,5,1,3,2,4,3,1,1,5,5,2
"185","0136-101","Western Civilization I",,"3","G","H",0,0,1,0,0,0,0,1,0,0,2,3,4,5,2,5,3,4,4,1,2,2,2,5,3,3,2,4,2,2,5,1,2,2,3,1,1,1,4,3,3,4,2,4,3,3,4,5,1,2,5,4,4,4,2,2,2,2,5,3,3,4,3,4,3,4,3,5,4,1,5,1,3,2,4,4,1,5,5,3,2,1,2,2,4,5,2,3,1,3,4,1,4,5,3,3,3,5,2,1,5,5,1,2,2,5,3,5
"186","0136-102","Western Civilization I I",,"3","G","H",0,0,1,0,0,0,0,1,0,0,1,1,2,1,3,1,3,4,2,1,1,1,5,3,2,1,3,2,5,3,5,3,3,1,1,2,4,5,1,1,2,4,2,2,3,4,3,3,4,2,5,3,2,4,4,3,1,1,5,3,3,2,2,3,2,3,3,2,5,2,4,1,2,5,1,1,3,4,4,2,2,1,4,5,1,5,3,5,2,4,3,1,2,5,1,4,3,3,1,5,5,3,5,4,3,4,5,3
"187","0136-105","World Civilizations I",,"3","G","H",0,0,1,0,0,0,0,1,0,0,1,3,3,3,2,1,1,1,2,5,2,2,4,4,4,3,4,5,5,5,3,3,5,2,5,2,2,3,2,2,5,1,4,3,5,3,1,5,4,5,5,2,1,5,5,4,1,4,3,4,3,5,1,5,4,5,3,3,3,5,4,3,3,5,4,4,4,3,2,2,5,2,4,3,4,1,1,3,2,1,4,1,1,3,1,3,4,5,5,1,2,3,4,5,5,1,1,1
"188","0136-106","World Civilizations I I",,"3","G","H",0,0,1,0,0,0,0,1,0,0,3,5,4,5,3,3,1,1,3,2,1,5,3,5,3,1,3,1,2,3,1,3,1,4,5,4,3,1,2,1,4,1,3,4,3,3,5,5,2,4,3,3,1,3,3,1,3,4,3,1,1,3,1,4,5,2,3,2,3,1,5,5,1,2,3,3,3,2,5,3,3,2,5,4,4,4,4,2,5,3,4,3,3,2,4,1,2,5,1,5,3,3,4,5,5,3,1,3
"189","0136-206","History of East Asia I",,"3","G","H",0,0,1,0,0,0,0,1,0,0,2,2,3,4,2,4,4,5,2,5,3,4,3,4,1,5,1,4,3,4,3,4,5,3,3,5,5,2,5,2,4,3,3,2,5,3,4,5,2,2,1,5,4,4,4,4,3,4,2,1,5,3,5,1,4,4,2,4,4,3,3,4,4,2,5,1,3,1,3,3,2,5,3,4,4,3,1,4,1,4,2,1,2,2,1,2,3,5,2,4,1,5,5,3,3,5,2,3
"190","0136-207","History of East Asia II",,"3","G","H",0,0,1,0,0,0,0,1,0,0,2,5,3,5,3,3,1,1,4,5,2,5,1,2,3,2,5,3,4,5,5,3,3,1,4,4,1,3,1,4,2,1,1,1,5,5,3,4,4,2,1,5,4,5,2,5,4,5,2,4,1,1,4,2,3,4,3,2,3,2,1,4,4,2,5,5,1,2,2,1,4,5,3,1,3,5,4,5,1,2,3,5,5,3,5,5,1,5,2,1,4,2,2,2,5,2,1,1
"191","0136-209","A History of Modern Japan: From Samurai to Salaryman 1800-1989",,"3","G","H",0,0,1,0,0,0,0,1,0,0,4,4,2,5,4,2,5,2,1,2,2,1,5,4,2,1,1,5,2,2,5,1,4,1,4,3,3,2,2,3,1,1,2,3,5,3,1,3,2,3,3,3,2,3,4,2,5,2,4,1,1,5,5,4,2,5,3,1,3,5,4,2,3,1,5,5,5,3,2,1,4,5,2,1,3,5,3,3,1,5,1,5,4,2,1,5,3,3,1,4,2,3,5,4,2,4,4,4
"192","0136-210","Modern China",,"3","G","H",0,0,1,0,0,0,0,1,0,0,1,5,1,2,2,4,3,4,5,4,4,4,1,2,4,4,1,4,3,4,1,2,1,1,5,3,3,3,3,2,1,4,3,4,3,5,4,3,2,4,2,3,4,5,1,4,2,1,4,1,1,2,5,5,4,2,5,1,2,5,1,3,3,2,1,3,4,3,1,4,2,2,1,1,1,5,5,3,1,3,4,5,5,1,4,5,2,1,3,1,1,4,5,1,3,3,2,3
"193","0136-217","The Middle Ages",,"3","G","H",0,0,1,0,0,0,0,1,0,0,2,1,4,5,3,2,5,4,2,4,3,1,2,4,2,1,3,1,3,1,5,1,1,3,4,1,5,1,1,4,4,5,1,5,1,4,5,5,3,3,4,4,2,3,5,4,4,2,2,1,4,2,3,4,1,2,2,2,4,3,2,5,1,4,2,2,4,4,4,4,3,4,3,4,3,1,4,2,4,1,4,1,2,2,4,4,1,1,3,5,5,4,5,1,1,3,4,1
"194","0136-218","Renaissance And Reformation Europe 1300-1648",,"3","G","H",0,0,1,0,0,0,0,1,0,0,4,5,3,3,3,5,4,5,2,1,2,1,1,4,1,4,2,3,3,4,1,4,5,4,5,3,2,3,4,3,4,1,1,1,3,3,3,5,5,3,4,1,1,4,3,5,4,4,3,5,1,1,2,5,4,3,3,4,2,4,5,1,1,4,3,5,4,2,1,3,4,2,2,3,4,2,3,2,2,4,5,3,4,5,5,1,4,5,2,2,2,4,5,5,4,5,2,3
